UF,MUNICIPIO,NO_FANTASIA,CO_CNES,notificacoes
RS,VIAMAO,SMS DE VIAMAO,5441285,2
SC,BALNEARIO PICARRAS,UNIDADE DE PRONTO ATENDIMENTO UPA 24 H,9311084,2
SC,CONCORDIA,UNIDADE SANITARIA CENTRAL,2304074,2
SC,CRICIUMA,HOSPITAL SAO JOAO BATISTA HSJB,2540355,2
SC,FLORIANOPOLIS,UGF SERVICOS DE SAUDE UNIDADE ADMINISTRATIVA,7164823,2
SC,LAGES,VIGILANCIA EPIDEMIOLOGICA,6494633,2
SC,MODELO,HOSPITAL DE MODELO,2553066,2
SC,PAPANDUVA,HOSPITAL SAO SEBASTIAO,2379163,2
SC,PENHA,HOSPITAL DE PENHA,2691469,2
SC,PENHA,UNIDADE DE PRONTO ATENDIMENTO UPA,6976433,2
SC,PRESIDENTE GETULIO,HOSPITAL E MATERNIDADE MARIA AUXILIADORA,2377330,2
SC,QUILOMBO,HOSPITAL SAO BERNARDO,2538342,2
SC,SANTO AMARO DA IMPERATRIZ,SECRETARIA MUNICIPAL DE SAUDE SANTO AMARO DA IMPERATRIZ,6375642,2
SC,SAO FRANCISCO DO SUL,HOSPITAL E MATERNIDADE MUNICIPAL NOSSA SENHORA DA GRACA,6757960,2
SC,SAO MARTINHO,FUNDACAO MEDICO SOCIAL RURAL DE SAO MARTINHO,2550881,2
SC,TROMBUDO CENTRAL,HOSPITAL TROMBUDO CENTRAL,2377373,2
SC,TUBARAO,SVO SERVICO DE VERIFICACAO DE OBITOS,9647546,2
SE,CAMPO DO BRITO,SECRETARIA MUN DE SAUDE DE CAMPO DO BRITO,6222145,2
SE,CRISTINAPOLIS,CLINICA 24H DE SAUDE DA FAMILIA MARIA DANTAS DE CARVALHO,2421003,2
SE,ITAPORANGA D'AJUDA,SECRETARIA MUN DE SAUDE ITAPORANGA,6378625,2
SE,JAPARATUBA,SECRETARIA MUN DE SAUDE DE JAPARATUBA,6292984,2
SE,TOBIAS BARRETO,SECRETARIA MUN DE SAUDE DE TOBIAS BARRETO,6288022,2
SP,AGUAI,PRONTO SOCORRO MUNICIPAL DE AGUAI,2069164,2
SP,AMERICANA,HOSPITAL SAMARITANO AMERICANA,9128581,2
SP,AMERICO DE CAMPOS,CS DE AMERICO DE CAMPOS,2716577,2
SP,ARACATUBA,PRONTO SOCORRO MUNICIPAL DE ARACATUBA AIDA VANZO DOLCE,2059320,2
SP,ARARAQUARA,HOSPITAL DE CAMPANHA COVID 19 ARARAQUARA,102741,2
SP,ARARAS,PRO SAUDE HOSPITAL GERAL ARARAS,2084120,2
SP,BEBEDOURO,SAE BEBEDOURO SERVICO DE ASSISTENCIA ESPECIALIZADA,3817822,2
SP,BOM JESUS DOS PERDOES,UNIDADE MISTA DE SAUDE DR JOSE ORLANDO S BORGATTO,2084007,2
SP,CAMPINAS,BOLDRINI CAMPINAS,2081482,2
SP,CAMPINAS,VIGILANCIA EM SAUDE NOROESTE,9635289,2
SP,CAMPINAS,VIGILANCIA EM SAUDE SUDOESTE,9635297,2
SP,CAPIVARI,HOSPITAL UNIMED DE CAPIVARI,3334678,2
SP,CATANDUVA,HOSPITAL PADRE ALBINO CATANDUVA,2089327,2
SP,DUMONT,UNIDADE MISTA DE SAUDE DE DUMONT,2793512,2
SP,FLORIDA PAULISTA,SANTA CASA DE MISERICORDIA DE FLORIDA PAULISTA,2745402,2
SP,GARCA,HOSPITAL SAO LUCAS,2078023,2
SP,GUARULHOS,HOSPITAL CASA DE SAUDE GUARULHOS,3461963,2
SP,IRACEMAPOLIS,PRONTO SOCORRO SANTA CRUZ DE IRACEMAPOLIS,2812681,2
SP,ITAI,IRMANDADE DA SANTA CASA DE MISERICORDIA DE ITAI,2093227,2
SP,ITAPIRA,SANTA CASA DE MISERICORDIA DE ITAPIRA,2084287,2
SP,ITAQUAQUECETUBA,HOSPITAL E MATERNIDADE IPIRANGA UNI AVANCADA ITAQUA,7156634,2
SP,JALES,HOSPITAL DE AMOR JALES,7066376,2
SP,MARACAI,HOSPITAL BENEFICENTE DE MARACAI,2079437,2
SP,MATAO,CENTRO DE SAUDE II MATAO,2747081,2
SP,OSASCO,SECRETARIA MUNICIPAL DE SAUDE,6123031,2
SP,PALMITAL,SANTA CASA DE MISERICORDIA DE PALMITAL,2080958,2
SP,PIRANGI,HOSP BENEFICENTE DE PIRANGI,2079909,2
SP,POTIRENDABA,HOSPITAL ASSISTENCIAL MARIA CAVALOTTI NEVES POTIRENDABA,2096617,2
SP,PRESIDENTE PRUDENTE,SECRETARIA MUNICIPAL DE SAUDE DE PRESIDENTE PRUDENTE,2045249,2
SP,RANCHARIA,UBS III DE RANCHARIA,2751143,2
SP,RIBEIRAO BONITO,SANTA CASA DE MISERICORDIA RIBEIRAO BONITO,2747693,2
SP,RIBEIRAO PRETO,MATERNIDADE SINHA JUNQUEIRA,2078791,2
SP,SALTO GRANDE,SANTA CASA DE SALTO GRANDE,2082756,2
SP,SANTA BARBARA D'OESTE,VIGILANCIA EPIDEMIOLOGICA,5326435,2
SP,SANTA RITA DO PASSA QUATRO,CENTRO DE SAUDE II SANTA RITA DO PASSA QUATRO,2774682,2
SP,SANTA RITA DO PASSA QUATRO,SANTA CASA SANTA RITA DO PASSA QUATRO,2091267,2
SP,SANTOS,HOSPITAL DOS ESTIVADORES DE SANTOS H I E S,2078260,2
SP,SAO BERNARDO DO CAMPO,NOTRE DAME INTERMEDICA SAUDE S A,2068672,2
SP,SAO BERNARDO DO CAMPO,NOTRE DAME INTERMEDICA SAUDE S A INDICO PA SBC,5239869,2
SP,SAO BERNARDO DO CAMPO,UBS RIACHO GRANDE,2045389,2
SP,SAO BERNARDO DO CAMPO,UBS RUDGE RAMOS,2037386,2
SP,SAO CAETANO DO SUL,CENTRO DE VIGILANCIA A SAUDE DE SAO CAETANO DO SUL,2031604,2
SP,SAO CAETANO DO SUL,HOSPITAL DE CAMPANHA COVID 19 HOSPITAL SAO CAETANO,6938361,2
SP,SAO JOSE DOS CAMPOS,HOSPITAL E MATERNIDADE POLICLIN,5259789,2
SP,SAO JOSE DOS CAMPOS,UPA 24 HORAS ALTO DA PONTE,9296,2
SP,SAO JOSE DOS CAMPOS,VIGILANCIA EPIDEMIOLOGICA DE SAO JOSE DOS CAMPOS,3865614,2
SP,SAO PAULO,AMA UBS INTEGRADA MASSAGISTA MARIO AMERICO,2788594,2
SP,SAO PAULO,AMA VILA BARBOSA,6148379,2
SP,SAO PAULO,CLINICA PREMIUM CARE VILA OLIMPIA,6032699,2
SP,SAO PAULO,CLUBE VIDA DE SAUDE,6292682,2
SP,SAO PAULO,HOSPITAL GERIATRICO E DE CONVALESCENTES D PEDRO II,2688581,2
SP,SAO PAULO,UBS J IVA,2787490,2
SP,SAO PAULO,UBS J SOARES,4050045,2
SP,SAO PAULO,UBS VILA ROSCHEL,6332528,2
SP,SAO PEDRO,UPA JOSE FERNANDO DA SILVA SAO PEDRO,7590687,2
SP,SAO ROQUE,CENTRO DE SAUDE SAO ROQUE DR JOSE CARVALHO BRITO,2049635,2
SP,SAO SEBASTIAO,PRONTO ATENDIMENTO DE BOICUCANGA,2766116,2
SP,SAO SIMAO,SANTA CASA DE MISERICORDIA DE SAO SIMAO,2058243,2
SP,SAO VICENTE,SECRETARIA DE SAUDE DE SAO VICENTE,2039230,2
SP,TAGUAI,SANTA CASA DE MISERICORDIA DE TAGUAI,2082934,2
SP,TERRA ROXA,HOSPITAL TERRA ROXA,2083213,2
TO,ARRAIAS,HOSPITAL REGIONAL DE ARRAIAS,2792451,2
TO,DIANOPOLIS,HOSPITAL REGIONAL DE DIANOPOLIS,2786095,2
TO,PALMAS,HOSPITAL INFANTIL DE PALMAS,6469205,2
TO,PALMAS,HOSPITAL SANTA THEREZA,9202749,2
AC,RIO BRANCO,HOSPITAL DA CRIANCA URGIL URGENCIA INFANTIL SERV MEDICO,3046354,1
AC,RIO BRANCO,HOSPITAL INFANTIL IOLANDA COSTA E SILVA,2000385,1
AC,RIO BRANCO,MATERNIDADE E CLINICAS DE MULHERES BARBARA HELIODORA,2000733,1
AC,RIO BRANCO,SANTA CASA,6497314,1
AC,RIO BRANCO,UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA,5232996,1
AL,BATALHA,UNIDADE ANTONIO VIEIRA FILHO,2011689,1
AL,IBATEGUARA,MATERNIDADE E PRONTO ATENDIMENTO MARIANO DE OLIVEIRA,6267238,1
AL,MACEIO,LABORATORIO DE SAUDE PUBLICA LACEN,2009129,1
AL,MACEIO,MATERNIDADE ESCOLA SANTA MONICA,2009250,1
AL,MACEIO,SANTA CASA DE MACEIO UNIDADE FAROL,7708963,1
AL,MAJOR ISIDORO,UNIDADE MISTA DR EZECHIAS DA ROCHA,2004488,1
AL,RIO LARGO,SECRETARIA MUNICIPAL DE SAUDE DE RIO LARGO,2722836,1
AL,TRAIPU,UNIDADE DE VIGILANCIA A SAUDE,2722771,1
AM,ANORI,UNIDADE HOSPITALAR DE ANORI,2717379,1
AM,ATALAIA DO NORTE,UNIDADE HOSPITALAR DE ATALAIA DO NORTE,2016672,1
AM,BENJAMIN CONSTANT,POLO BASE FEIJOAL,5591171,1
AM,CAREIRO,POLO BASE DO CAREIRO CASTANHO,7323158,1
AM,MANAUS,DISTRITO DE SAUDE LESTE,6421377,1
AM,MANAUS,HOSPITAL GERAL GERALDO DA ROCHA,2018101,1
AM,MANAUS,MATERNIDADE ALVORADA,2013029,1
AM,MANAUS,PRONTO ATENDIMENTO DISTRITO,9676775,1
AM,PRESIDENTE FIGUEIREDO,SEMS PRESIDENTE FIGUEIREDO,6409156,1
AM,SAO SEBASTIAO DO UATUMA,UNIDADE HOSPITALAR DE SAO SEBASTIAO DO UATUMA,2011859,1
AP,SERRA DO NAVIO,PMSN,9541322,1
BA,ADUSTINA,UNIDADE MISTA HOSPITALAR MARIA DOS SANTOS ALMEIDA,2771292,1
BA,AIQUARA,SECRETARIA DE SAUDE,6829236,1
BA,ALAGOINHAS,HCA,2519879,1
BA,ANDARAI,HOSPITAL MUNICIPAL DE ANDARAI,4021460,1
BA,ARATACA,SECRETARIA MUNICIPAL DE SAUDE DE ARATACA,3742253,1
BA,BOM JESUS DA LAPA,VIGILANCIA EPIDEMIOLOGICA,8015791,1
BA,BOM JESUS DA SERRA,HOSPITAL MUNICIPAL DE BOM JESUS DA SERRA,4022750,1
BA,BURITIRAMA,HOSPITAL DE PEQUENO PORTE MATERNIDADE NOSSA SENHORA DA LUZ,2386674,1
BA,CAATIBA,SMS DE CAATIBA,2386763,1
BA,CAMACAN,CENTRO DE REFERENCIA E VIGILANCIA A SAUDE,5524857,1
BA,CAMACARI,CENTRO INTERMEDIARIO DE ENFRENTAMENTO AO CORONAVIRUS CIEC,118095,1
BA,CAMACARI,HOSPITAL SEMED,3556239,1
BA,CAMAMU,HOSPITAL MUNICIPAL DR ALVARO ERNESTO,2387514,1
BA,CARAIBAS,CENTRO DE SAUDE SANTO ANTONIO,7919328,1
BA,CIPO,HOSPITAL MUNICIPAL DE CIPO,2799812,1
BA,CONCEICAO DO ALMEIDA,UNIDADE DE VIGILANCIA EM SAUDE,9308253,1
BA,CORIBE,HOSPITAL MUNICIPAL ANTONIO JOAQUIM LOPES,2801558,1
BA,CORRENTINA,HOSPITAL MUNICIPAL DR LAURO JOAQUIM DE ARAUJO,2801574,1
BA,ELISIO MEDRADO,CASA DE SAUDE MARIA LAPA BITTENCOURT,4025121,1
BA,FILADELFIA,UNIDADE HOSPITALAR SAO SEBASTIAO,2401665,1
BA,FLORESTA AZUL,SECRETARIA MUNICIPAL DE SAUDE DE FLORESTA AZUL,6679471,1
BA,GUANAMBI,HOSPITAL NOVA ALIANCA,6444954,1
BA,IBIRAPUA,HOSPITAL ISAURA CHACARA,2659999,1
BA,IBIRATAIA,MATERNIDADE AURELINA VIRGILIA FAIR,2413051,1
BA,IRARA,HOSPITAL MATERNIDADE DR DERALDO MIRANDA,2413671,1
BA,ITABELA,HOSPITAL E MATERNIDADE FREI RICARDO,2802015,1
BA,ITABUNA,MATERNIDADE ESTER GOMES,2444828,1
BA,ITABUNA,UPA MONTE CRISTO,9443088,1
BA,ITAPETINGA,SMS DE ITAPETINGA,2414732,1
BA,ITAPETINGA,UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS,7116896,1
BA,ITIUBA,HOSPITAL MUNICIPAL DE ITIUBA,2423936,1
BA,ITUBERA,HOSPITAL ANTONIO DA COSTA PINTO DANTAS,2445352,1
BA,JABORANDI,HOSPITAL MUNICIPAL HERMENEGILDO DIAS DA SILVA,2801582,1
BA,JACOBINA,UPA JOSEFA MAIA DA SILVA,9078673,1
BA,JANDAIRA,SECRETARIA MUNICIPAL DE SAUDE DE JANDAIRA,6424783,1
BA,LAURO DE FREITAS,UNIDADE DE PRONTO ATENDIMENTO DE ITINGA,7785577,1
BA,MAETINGA,PRONTO ATENDIMENTO ADONIDIO JOAO RIBEIRO,4028481,1
BA,MIGUEL CALMON,UNIDADE DE VIG EM SAUDE DR JOAO RUBENS N DOS ANJOS,7203012,1
BA,MULUNGU DO MORRO,HOSPITAL MUNICIPAL DO POVO,2505886,1
BA,MUNDO NOVO,HOSPITAL MUNICIPAL DE MUNDO NOVO,2498731,1
BA,NOVA FATIMA,HOSPITAL MUNICIPAL FLORISVALDO JOSUEL ARAUJO,2505819,1
BA,PALMAS DE MONTE ALTO,HOSPITAL MUNICIPAL MILTON FARIA DIAS LARANJEIRA,2506572,1
BA,PAULO AFONSO,SECRETARIA MUNICIPAL DE SAUDE DE PAULO AFONSO,6425380,1
BA,RAFAEL JAMBEIRO,HOSPITAL MUNICIPAL DR RAFAEL JAMBEIRO,2509245,1
BA,SALINAS DA MARGARIDA,HOSPITAL MUNICIPAL DE SALINAS DA MARGARIDA,3312216,1
BA,SALVADOR,DISTRITO SANITARIO DE BROTAS,5437903,1
BA,SALVADOR,DISTRITO SANITARIO LIBERDADE,5460263,1
BA,SALVADOR,DISTRITO SANITARIO SUBURBIO FERROVIARIO,5495806,1
BA,SALVADOR,INSTITUTO DE PERINATOLOGIA DA BAHIA,3794,1
BA,SALVADOR,MATERNIDADE TSYLLA BALBINO,4170,1
BA,SANTA MARIA DA VITORIA,CENTRO DE ATENDIMENTO A COVID 19,218049,1
BA,SANTA MARIA DA VITORIA,HOSPITAL MUNICIPAL DR JOSE BORBA,2799804,1
BA,SANTA MARIA DA VITORIA,SECRETARIA DE SAUDE DE SANTA MARIA DA VITORIA,6799132,1
BA,SANTANOPOLIS,UNIDADE MISTA MATER E P A EDUARDO GOMES BRITO,2514362,1
BA,SAO DESIDERIO,HOSPITAL E MATERNIDADE NOSSA SENHORA APARECIDA,2550032,1
BA,SAO DOMINGOS,HOSPITAL SAO DOMINGOS,4032101,1
BA,SEBASTIAO LARANJEIRAS,HOSPITAL MUNICIPAL WALTER LEAO ROCHA,2523299,1
BA,SENTO SE,HOSPITAL MATERNIDADE DR HEITOR SENTO SE,2523310,1
BA,TANQUINHO,HOSPITAL JOAO CAMPOS,2524686,1
BA,TEIXEIRA DE FREITAS,UMMI UNIDADE MUNICIPAL MATERNO INFANTIL,5005027,1
BA,TERRA NOVA,UNIDADE MISTA DE SAUDE DR OTTO ALENCAR,2524872,1
BA,UMBURANAS,UNIDADE DE SAUDE DA FAMILIA DA SEDE,2525518,1
BA,URANDI,HOSPITAL MUNICIPAL PADRE ANTONIO MANOEL DA ROCHA,4033418,1
BA,VARZEA DA ROCA,HOSPITAL MUNICIPAL JOAO SALES RIOS,2526042,1
BA,VARZEA DO POCO,HOSPITAL MUNICIPAL RIVORGE GONCALVES LIMA,2644835,1
BA,VERA CRUZ,UNIDADE DE PRONTO ATENDIMENTO DE VERA CRUZ,6211496,1
BA,WAGNER,HOSPITAL E MATERNIDADE PONTE NOVA,2814048,1
CE,ABAIARA,UNIDADE SAO FRANCISCO,2726319,1
CE,ARARENDA,HOSP MUNIC FRANCISCO M LIMA,2414996,1
CE,ARARIPE,HOSP MATERN LIA LOIOLA DE ALENCAR,2372487,1
CE,CARNAUBAL,SECRETARIA MUNIC DE SAUDE DE CARNAUBAL,6323804,1
CE,DEPUTADO IRAPUAN PINHEIRO,HOSPITAL MUNICIPAL SAO BERNARDO,2328437,1
CE,FORTALEZA,H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,2479907,1
CE,FORTALEZA,HOSPITAL DA CRIANCA,3470776,1
CE,FORTALEZA,LACEN LABORATORIO CENTRAL DE SAUDE PUBLICA,2611678,1
CE,FORTALEZA,UAPS ANASTACIO MAGALHAES,2528754,1
CE,IBIAPINA,SECRETARIA MUNICIPAL DE SAUDE,6325610,1
CE,IPAUMIRIM,HOSPITAL MATERNIDADE MARIA JOSE DOS SANTOS,2554771,1
CE,JAGUARIBE,HOSPITAL MUNICIPAL GOVERNADOR ADAUTO BEZERRA,2374064,1
CE,LIMOEIRO DO NORTE,HOSPITAL UNIMED VALE DO JAGUARIBE CE,9247971,1
CE,MARTINOPOLE,SECRETARIA MUNICIPAL DE SAUDE DE MARTINOPOLE,6471692,1
CE,MONSENHOR TABOSA,HOSP MATERN F FARIAS LEITAO,2414864,1
CE,PALHANO,HOSP MATERNIDADE MARIA TEREZA DE JESUS MATEUS,2371847,1
CE,QUIXELO,HOSP MUNIC DE QUIXELO,2328429,1
CE,QUIXERAMOBIM,SECRETARIA MUNICIPAL DE SAUDE DE QUIXERAMOBIM,6361447,1
CE,REDENCAO,HOSP MATERN PAULO SARASATE,2664666,1
CE,SAO BENEDITO,UNIDADE DE PRONTO ATENDIMENTO DE SAO BENEDITO,7389272,1
CE,SENADOR SA,CENTRO MUNICIPAL DE APOIO A SAUDE CEMAS,2611252,1
CE,SOBRAL,COMPLEXO HOSPITALAR DOM WALFRIDO,9987851,1
CE,SOBRAL,CSF CAIC,2424339,1
CE,SOBRAL,CSF ESTACAO GERARDO HARDY,2424290,1
CE,TARRAFAS,UNID MISTA NOSSA SRA DAS ANGUSTIAS,2564580,1
CE,TIANGUA,UPA TIANGUA,183229,1
CE,UBAJARA,SECRETARIA MUNICIPAL DE SAUDE DE UBAJARA,6440177,1
CE,URUOCA,UNID MISTA DE URUOCA,2478307,1
DF,BRASILIA,AGAPE TRATAMENTO DOMICILIAR,7914792,1
DF,BRASILIA,NOVITA HOME CARE,7895976,1
ES,AFONSO CLAUDIO,UNIDADE DE SAUDE HILTON LOPES VIEIRA,2546752,1
ES,AGUA DOCE DO NORTE,UNIDADE DE SAUDE SEBASTIAO VIANA,5100542,1
ES,APIACA,HOSPITAL JOSE MONTEIRO,2447320,1
ES,APIACA,UNIDADE DE SAUDE DA FAMILIA DE APIACA,2446766,1
ES,ARACRUZ,UNIDADE BASICA DE SAUDE DE SANTA CRUZ,2770113,1
ES,ATILIO VIVACQUA,HOSPITAL MUNICIPAL DRA ANDREA CANZIAN LOPES,2485397,1
ES,ATILIO VIVACQUA,UNIDADE DE SAUDE DA FAMILIA ALTO NITEROI ALMERINDA BARBOSA,6476813,1
ES,BAIXO GUANDU,CS DILMAN NETO FERREIRA,2445611,1
ES,BARRA DE SAO FRANCISCO,UNIDADE DE SAUDE ALVINO CAMPOS,2445859,1
ES,BOA ESPERANCA,UNIDADE DE SAUDE DE BOA MIRA,7503253,1
ES,CACHOEIRO DE ITAPEMIRIM,HIFA,2485729,1
ES,COLATINA,CASA DE SAUDE SAO BERNARDO,2446413,1
ES,COLATINA,US2 CARLOS GERMANO NAUMANN ULDERICO GIACOMIN,2446340,1
ES,GUACUI,PRONTO ATENDIMENTO LIONIZIO GONCALVES DA ROCHA,3480550,1
ES,IBITIRAMA,PRONTO ATENDIMENTO,9473769,1
ES,ITAGUACU,SECRETARIA MUNICIPAL DE SAUDE DE ITAGUACU,7035977,1
ES,IUNA,CENTRO MUNICIPAL DE SAUDE DE IUNA,2628082,1
ES,LINHARES,VIGILANCIA SANITARIA LINHARES,2615231,1
ES,MANTENOPOLIS,PRONTO ATENDIMENTO MUNICIPAL,7327404,1
ES,MANTENOPOLIS,UNIDADE SAUDE DA FAMILIA SEDE I,5160081,1
ES,MARATAIZES,ESF CAIC,3182711,1
ES,MIMOSO DO SUL,HOSPITAL APOSTOLO PEDRO,2448173,1
ES,MONTANHA,ESF 3 CENTRO,2627930,1
ES,NOVA VENECIA,UNIDADE DE SAUDE ANGELO PIASSAROLLI,2485141,1
ES,PEDRO CANARIO,UNIDADE SAUDE DA FAMILIA MARCOS VINICIUS SOUZA SANTOS,2484536,1
ES,PIUMA,HOSPITAL E MATERNIDADE NOSSA SENHORA DA CONCEICAO,2628023,1
ES,PIUMA,UNIDADE SANITARIA DE ACAIACA,9121714,1
ES,PONTO BELO,UNIDADE DE SAUDE DA FAMILIA PSF 1,5127386,1
ES,SANTA MARIA DE JETIBA,HOSPITAL CONCORDIA,2569213,1
ES,SAO DOMINGOS DO NORTE,ESF FRANCISCO ARAGAO,6657958,1
ES,SAO MATEUS,HOSPITAL MATERNIDADE SAO MATEUS,2484072,1
ES,SAO MATEUS,USF GURIRI NORTE I II E III,2484153,1
ES,SAO MATEUS,USF MORADA DO RIBEIRAO,5334209,1
ES,SERRA,INSTITUTO DE OLHOS VITORIA APART HOSPITAL,6631959,1
ES,SERRA,ORTOPEDIA VITORIA APART HOSPITAL S S LTDA,5490766,1
ES,SOORETAMA,PRONTO ATENDIMENTO GERALDO INACIO DOS SANTOS,8004404,1
ES,VARGEM ALTA,PRONTO ATENDIMENTO OCTACILIO GERALDO DO CARMO,7094833,1
ES,VIANA,PRONTO ATENDIMENTO MUNICIPAL VITTORIO SIAS,7329334,1
ES,VIANA,UNIDADE DE SAUDE DA FAMILIA DE VIANA CENTRO,2486210,1
ES,VILA VALERIO,SECRETARIA MUNICIPAL DE SAUDE,7256175,1
ES,VILA VELHA,HOSPITAL ESTADUAL DE VILA VELHA,7530706,1
ES,VILA VELHA,HOSPITAL SAO LUIZ,3405702,1
ES,VITORIA,HOSPITAL DA POLICIA MILITAR HPM,12017,1
GO,ALVORADA DO NORTE,HOSPITAL MUNICIPAL DE ALVORADA DO NORTE,2534916,1
GO,ANICUNS,HOSPITAL MUNICIPAL DE ANICUNS,2443139,1
GO,APARECIDA DE GOIANIA,MINI CAIS COLINA AZUL,2589621,1
GO,APARECIDA DE GOIANIA,UNIDADE BASICA DE SAUDE BURITI SERENO,7666314,1
GO,APARECIDA DE GOIANIA,UNIDADE BASICA DE SAUDE PARQUE FLAMBOYANT,2358549,1
GO,APORE,HOSPITAL MUNICIPAL DR JOSE QUARANTA FILHO,2442752,1
GO,ARAGOIANIA,VIGILANCIA EPIDEMIOLOGICA MUNICIPAL,7138652,1
GO,ARAGUAPAZ,HOSPITAL MUNICIPAL DE ARAGUAPAZ,2382369,1
GO,AVELINOPOLIS,HOSPITAL NOSSA SENHORA APARECIDA AVELINOPOLIS,2341093,1
GO,CASTELANDIA,HOSPITAL MUNICIPAL LUIZA DE SOUZA RAMOS,2437996,1
GO,CHAPADAO DO CEU,HOSPITAL MUNICIPAL SANTA LUZIA,2438410,1
GO,CUMARI,HOSPITAL MUNICIPAL DE CUMARI,2361396,1
GO,DAMIANOPOLIS,HOSPITAL MUNICIPAL SANTA CATARINA,2441268,1
GO,DIORAMA,HOSPITAL MUNICIPAL DE DIORAMA,2382032,1
GO,EDEALINA,HOSPITAL MUNICIPAL ELIAS AGUIAR E SILVA,2437767,1
GO,FLORES DE GOIAS,HOSPITAL MUNICIPAL DE FLORES DE GOIAS,2535327,1
GO,GOIANESIA,HOSPITAL UNIVERSITARIO EVANGELICO DE GOIANESIA,7577168,1
GO,GOIANIA,CENTRO CLINICO UNIMED,5371929,1
GO,GOIANIA,HOSPITAL AMERICA,7975023,1
GO,GOIANIA,HOSPITAL SAO DOMINGOS,2339137,1
GO,GOIANIA,MATERNIDADE NOSSA SENHORA DE LOURDES,2339080,1
GO,GOIANIA,SAU I SERVICO DE ATENDIMENTO UNIMED,2518384,1
GO,GOIANIA,USF FINSOCIAL,2506335,1
GO,GOIANIRA,HOSPITAL GOIANIRA,2507803,1
GO,GOIANIRA,UNIDADE AMBULATORIAL SANTOS DANGONI,2769565,1
GO,GOIATUBA,CASA DE SAUDE SAO JOSE,2695855,1
GO,GOIATUBA,HOSPITAL ODELIO PRUDENCIO,6378528,1
GO,GUAPO,AMBULATORIO 24 HORAS GUAPO,2437600,1
GO,GUARAITA,UNIDADE MISTA DE GUARAITA,2336650,1
GO,INDIARA,HOSPITAL MUNICIPAL DE INDIARA,2343185,1
GO,IPORA,HOSPITAL MUNICIPAL DE IPORA,2519593,1
GO,ITAPACI,HOSPITAL DR JOSE PEIXOTO DA SILVEIRA ITAPACI,2534517,1
GO,ITARUMA,HOSPITAL MUNICIPAL DE ITARUMA,2436930,1
GO,JANDAIA,HOSPITAL MUNICIPAL DE JANDAIA,2769549,1
GO,LUZIANIA,DEPARTAMENTO DE ACOES BASICAS DE SAUDE,3063763,1
GO,ORIZONA,HOSPITAL E MATERNIDADE SAO PIO X LTDA ORIZONA,2442450,1
GO,PETROLINA DE GOIAS,HOSPITAL SAO JOSE PETROLINA DE GOIAS,2442027,1
GO,TAQUARAL DE GOIAS,HOSPITAL MUNICIPAL DORALICE G ROCHA TAQUARAL,2535785,1
GO,TURVELANDIA,HOSPITAL MUNICIPAL NOSSA SENHORA DO DESTERRO,2437244,1
GO,URUACU,HOSPITAL SANTANA URUACU,2337142,1
MA,ARAGUANA,SEMUS ARAGUANA,6661165,1
MA,BARRA DO CORDA,HOSPITAL MATERNO INFANTIL,2462583,1
MA,BOM JESUS DAS SELVAS,HOSPITAL MUNICIPAL BOM JESUS DAS SELVAS,2531771,1
MA,CAMPESTRE DO MARANHAO,HOSPITAL MUNICIPAL DE CAMPESTRE DO MARANHAO,7385374,1
MA,FEIRA NOVA DO MARANHAO,UNIDADE MISTA LUSO ROCHA,2465086,1
MA,FERNANDO FALCAO,HOSPITAL GERAL DE FERNANDO FALCAO,7639724,1
MA,GOVERNADOR NEWTON BELLO,HOSPITAL MUNICIPAL JOSE RAMOS,7511884,1
MA,GOVERNADOR NUNES FREIRE,CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19 I,2457105,1
MA,IGARAPE DO MEIO,HOSPITAL MUNICIPAL DE IGARAPE DO MEIO,2450631,1
MA,IMPERATRIZ,HOSPITAL SAO RAFAEL,2531348,1
MA,LAGO VERDE,HOSPITAL MUNICIPAL DE LAGO VERDE,2453355,1
MA,MATA ROMA,HOSPITAL THALLES RIBEIRO GONCALVES,2460017,1
MA,MONCAO,HOSPITAL MUNICIPAL NEWTON SERRA,2655845,1
MA,PIRAPEMAS,HOSPITAL GERAL GERTRUDES MELO MARTINS,2702711,1
MA,SANTA HELENA,HOSPITAL SANTA HELENA,6463045,1
MA,SANTA QUITERIA DO MARANHAO,HOSPITAL MUNICIPAL DR ZECA MOREIRA,2465655,1
MA,SANTO ANTONIO DOS LOPES,HOSPITAL MUNICIPAL DR ZERBINE,2461234,1
MA,SAO LUIS,CEMED CENTRO DE ESPECIALIDADES MEDICAS,6392067,1
MA,SAO LUIS,CLINICA SAO MARCOS,2308231,1
MA,SAO LUIS,HOSPITAL DE REF ESTADUAL DE A C TARQUINIO LOPES FILHO,6851320,1
MA,SAO LUIS,UNIDADE DE SAUDE 24 HORAS DA ZONA RURAL,9144706,1
MA,SAO LUIS,UPC HOSPITAL DA CRIANCA,2646668,1
MA,TUFILANDIA,HOSPITAL MUNICIPAL DE TUFILANDIA SANTA TEREZINHA,7247583,1
MA,VARGEM GRANDE,HOSPITAL MUNICIPAL BENITO M SOUSA,2459620,1
MG,ABADIA DOS DOURADOS,CENTRO DE SAUDE DONA NAIR GOMES CALDAS,4033760,1
