UF;Municipio;Unidade;Notificações
RS;ROLANTE;FUNDACAO HOSPITALAR DE ROLANTE;   2
RS;RONDINHA;HOSPITAL PADRE EUGENIO;   2
RS;SANTA BARBARA DO SUL;HOSPITAL SANTA BARBARA BENEFICENTE;   2
RS;SANTA MARIA;HOSPITAL GERAL UNIMED;   2
RS;SANTO ANGELO;UPA SANTO ANGELO;   2
RS;SAO JERONIMO;SECRETARIA MUNICIPAL DE SAUDE;   2
RS;SAO MIGUEL DAS MISSOES;ESF 1 SAO FRANCISCO SAO MIGUEL;   2
RS;SAO SEPE;HOSPITAL SANTO ANTONIO;   2
RS;SEBERI;HOSPITAL PIO XII SEBERI;   2
RS;SEVERIANO DE ALMEIDA;HOSPITAL SAO ROQUE;   2
RS;VENANCIO AIRES;CADI CENTRO DE ATENDIMENTO DE DOENCAS INFECCIOSAS;   2
RS;VERA CRUZ;HOSPITAL VERA CRUZ;   2
RS;VIAMAO;SMS DE VIAMAO;   2
SC;BALNEARIO PICARRAS;UNIDADE DE PRONTO ATENDIMENTO UPA 24 H;   2
SC;CONCORDIA;UNIDADE SANITARIA CENTRAL;   2
SC;CRICIUMA;HOSPITAL SAO JOAO BATISTA HSJB;   2
SC;FLORIANOPOLIS;UGF SERVICOS DE SAUDE UNIDADE ADMINISTRATIVA;   2
SC;LAGES;VIGILANCIA EPIDEMIOLOGICA;   2
SC;MODELO;HOSPITAL DE MODELO;   2
SC;PAPANDUVA;HOSPITAL SAO SEBASTIAO;   2
SC;PENHA;HOSPITAL DE PENHA;   2
SC;PENHA;UNIDADE DE PRONTO ATENDIMENTO UPA;   2
SC;PRESIDENTE GETULIO;HOSPITAL E MATERNIDADE MARIA AUXILIADORA;   2
SC;QUILOMBO;HOSPITAL SAO BERNARDO;   2
SC;SANTO AMARO DA IMPERATRIZ;SECRETARIA MUNICIPAL DE SAUDE SANTO AMARO DA IMPERATRIZ;   2
SC;SAO FRANCISCO DO SUL;HOSPITAL E MATERNIDADE MUNICIPAL NOSSA SENHORA DA GRACA;   2
SC;SAO MARTINHO;FUNDACAO MEDICO SOCIAL RURAL DE SAO MARTINHO;   2
SC;TROMBUDO CENTRAL;HOSPITAL TROMBUDO CENTRAL;   2
SC;TUBARAO;SVO SERVICO DE VERIFICACAO DE OBITOS;   2
SE;CAMPO DO BRITO;SECRETARIA MUN DE SAUDE DE CAMPO DO BRITO;   2
SE;CRISTINAPOLIS;CLINICA 24H DE SAUDE DA FAMILIA MARIA DANTAS DE CARVALHO;   2
SE;ITAPORANGA D'AJUDA;SECRETARIA MUN DE SAUDE ITAPORANGA;   2
SE;JAPARATUBA;SECRETARIA MUN DE SAUDE DE JAPARATUBA;   2
SE;TOBIAS BARRETO;SECRETARIA MUN DE SAUDE DE TOBIAS BARRETO;   2
SP;AGUAI;PRONTO SOCORRO MUNICIPAL DE AGUAI;   2
SP;AMERICANA;HOSPITAL SAMARITANO AMERICANA;   2
SP;AMERICO DE CAMPOS;CS DE AMERICO DE CAMPOS;   2
SP;ARACATUBA;PRONTO SOCORRO MUNICIPAL DE ARACATUBA AIDA VANZO DOLCE;   2
SP;ARARAQUARA;HOSPITAL DE CAMPANHA COVID 19 ARARAQUARA;   2
SP;ARARAS;PRO SAUDE HOSPITAL GERAL ARARAS;   2
SP;BEBEDOURO;SAE BEBEDOURO SERVICO DE ASSISTENCIA ESPECIALIZADA;   2
SP;BOM JESUS DOS PERDOES;UNIDADE MISTA DE SAUDE DR JOSE ORLANDO S BORGATTO;   2
SP;CAMPINAS;BOLDRINI CAMPINAS;   2
SP;CAMPINAS;VIGILANCIA EM SAUDE NOROESTE;   2
SP;CAMPINAS;VIGILANCIA EM SAUDE SUDOESTE;   2
SP;CAPIVARI;HOSPITAL UNIMED DE CAPIVARI;   2
SP;CATANDUVA;HOSPITAL PADRE ALBINO CATANDUVA;   2
SP;DUMONT;UNIDADE MISTA DE SAUDE DE DUMONT;   2
SP;FLORIDA PAULISTA;SANTA CASA DE MISERICORDIA DE FLORIDA PAULISTA;   2
SP;GARCA;HOSPITAL SAO LUCAS;   2
SP;GUARULHOS;HOSPITAL CASA DE SAUDE GUARULHOS;   2
SP;IRACEMAPOLIS;PRONTO SOCORRO SANTA CRUZ DE IRACEMAPOLIS;   2
SP;ITAI;IRMANDADE DA SANTA CASA DE MISERICORDIA DE ITAI;   2
SP;ITAPIRA;SANTA CASA DE MISERICORDIA DE ITAPIRA;   2
SP;ITAQUAQUECETUBA;HOSPITAL E MATERNIDADE IPIRANGA UNI AVANCADA ITAQUA;   2
SP;JALES;HOSPITAL DE AMOR JALES;   2
SP;MARACAI;HOSPITAL BENEFICENTE DE MARACAI;   2
SP;MATAO;CENTRO DE SAUDE II MATAO;   2
SP;OSASCO;SECRETARIA MUNICIPAL DE SAUDE;   2
SP;PALMITAL;SANTA CASA DE MISERICORDIA DE PALMITAL;   2
SP;PIRANGI;HOSP BENEFICENTE DE PIRANGI;   2
SP;POTIRENDABA;HOSPITAL ASSISTENCIAL MARIA CAVALOTTI NEVES POTIRENDABA;   2
SP;PRESIDENTE PRUDENTE;SECRETARIA MUNICIPAL DE SAUDE DE PRESIDENTE PRUDENTE;   2
SP;RANCHARIA;UBS III DE RANCHARIA;   2
SP;RIBEIRAO BONITO;SANTA CASA DE MISERICORDIA RIBEIRAO BONITO;   2
SP;RIBEIRAO PRETO;MATERNIDADE SINHA JUNQUEIRA;   2
SP;SALTO GRANDE;SANTA CASA DE SALTO GRANDE;   2
SP;SANTA BARBARA D'OESTE;VIGILANCIA EPIDEMIOLOGICA;   2
SP;SANTA RITA DO PASSA QUATRO;CENTRO DE SAUDE II SANTA RITA DO PASSA QUATRO;   2
SP;SANTA RITA DO PASSA QUATRO;SANTA CASA SANTA RITA DO PASSA QUATRO;   2
SP;SANTOS;HOSPITAL DOS ESTIVADORES DE SANTOS H I E S;   2
SP;SAO BERNARDO DO CAMPO;NOTRE DAME INTERMEDICA SAUDE S A;   2
SP;SAO BERNARDO DO CAMPO;NOTRE DAME INTERMEDICA SAUDE S A INDICO PA SBC;   2
SP;SAO BERNARDO DO CAMPO;UBS RIACHO GRANDE;   2
SP;SAO BERNARDO DO CAMPO;UBS RUDGE RAMOS;   2
SP;SAO CAETANO DO SUL;CENTRO DE VIGILANCIA A SAUDE DE SAO CAETANO DO SUL;   2
SP;SAO CAETANO DO SUL;HOSPITAL DE CAMPANHA COVID 19 HOSPITAL SAO CAETANO;   2
SP;SAO JOSE DOS CAMPOS;HOSPITAL E MATERNIDADE POLICLIN;   2
SP;SAO JOSE DOS CAMPOS;UPA 24 HORAS ALTO DA PONTE;   2
SP;SAO JOSE DOS CAMPOS;VIGILANCIA EPIDEMIOLOGICA DE SAO JOSE DOS CAMPOS;   2
SP;SAO PAULO;AMA UBS INTEGRADA MASSAGISTA MARIO AMERICO;   2
SP;SAO PAULO;AMA VILA BARBOSA;   2
SP;SAO PAULO;CLINICA PREMIUM CARE VILA OLIMPIA;   2
SP;SAO PAULO;CLUBE VIDA DE SAUDE;   2
SP;SAO PAULO;HOSPITAL GERIATRICO E DE CONVALESCENTES D PEDRO II;   2
SP;SAO PAULO;UBS J IVA;   2
SP;SAO PAULO;UBS J SOARES;   2
SP;SAO PAULO;UBS VILA ROSCHEL;   2
SP;SAO PEDRO;UPA JOSE FERNANDO DA SILVA SAO PEDRO;   2
SP;SAO ROQUE;CENTRO DE SAUDE SAO ROQUE DR JOSE CARVALHO BRITO;   2
SP;SAO SEBASTIAO;PRONTO ATENDIMENTO DE BOICUCANGA;   2
SP;SAO SIMAO;SANTA CASA DE MISERICORDIA DE SAO SIMAO;   2
SP;SAO VICENTE;SECRETARIA DE SAUDE DE SAO VICENTE;   2
SP;TAGUAI;SANTA CASA DE MISERICORDIA DE TAGUAI;   2
SP;TERRA ROXA;HOSPITAL TERRA ROXA;   2
TO;ARRAIAS;HOSPITAL REGIONAL DE ARRAIAS;   2
TO;DIANOPOLIS;HOSPITAL REGIONAL DE DIANOPOLIS;   2
TO;PALMAS;HOSPITAL INFANTIL DE PALMAS;   2
TO;PALMAS;HOSPITAL SANTA THEREZA;   2
AC;RIO BRANCO;HOSPITAL DA CRIANCA URGIL URGENCIA INFANTIL SERV MEDICO;   1
AC;RIO BRANCO;HOSPITAL INFANTIL IOLANDA COSTA E SILVA;   1
AC;RIO BRANCO;MATERNIDADE E CLINICAS DE MULHERES BARBARA HELIODORA;   1
AC;RIO BRANCO;SANTA CASA;   1
AC;RIO BRANCO;UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA;   1
AL;BATALHA;UNIDADE ANTONIO VIEIRA FILHO;   1
AL;IBATEGUARA;MATERNIDADE E PRONTO ATENDIMENTO MARIANO DE OLIVEIRA;   1
AL;MACEIO;LABORATORIO DE SAUDE PUBLICA LACEN;   1
AL;MACEIO;MATERNIDADE ESCOLA SANTA MONICA;   1
AL;MACEIO;SANTA CASA DE MACEIO UNIDADE FAROL;   1
AL;MAJOR ISIDORO;UNIDADE MISTA DR EZECHIAS DA ROCHA;   1
AL;RIO LARGO;SECRETARIA MUNICIPAL DE SAUDE DE RIO LARGO;   1
AL;TRAIPU;UNIDADE DE VIGILANCIA A SAUDE;   1
AM;ANORI;UNIDADE HOSPITALAR DE ANORI;   1
AM;ATALAIA DO NORTE;UNIDADE HOSPITALAR DE ATALAIA DO NORTE;   1
AM;BENJAMIN CONSTANT;POLO BASE FEIJOAL;   1
AM;CAREIRO;POLO BASE DO CAREIRO CASTANHO;   1
AM;MANAUS;DISTRITO DE SAUDE LESTE;   1
AM;MANAUS;HOSPITAL GERAL GERALDO DA ROCHA;   1
AM;MANAUS;MATERNIDADE ALVORADA;   1
AM;MANAUS;PRONTO ATENDIMENTO DISTRITO;   1
AM;PRESIDENTE FIGUEIREDO;SEMS PRESIDENTE FIGUEIREDO;   1
AM;SAO SEBASTIAO DO UATUMA;UNIDADE HOSPITALAR DE SAO SEBASTIAO DO UATUMA;   1
AP;SERRA DO NAVIO;PMSN;   1
BA;ADUSTINA;UNIDADE MISTA HOSPITALAR MARIA DOS SANTOS ALMEIDA;   1
BA;AIQUARA;SECRETARIA DE SAUDE;   1
BA;ALAGOINHAS;HCA;   1
BA;ANDARAI;HOSPITAL MUNICIPAL DE ANDARAI;   1
BA;ARATACA;SECRETARIA MUNICIPAL DE SAUDE DE ARATACA;   1
BA;BOM JESUS DA LAPA;VIGILANCIA EPIDEMIOLOGICA;   1
BA;BOM JESUS DA SERRA;HOSPITAL MUNICIPAL DE BOM JESUS DA SERRA;   1
BA;BURITIRAMA;HOSPITAL DE PEQUENO PORTE MATERNIDADE NOSSA SENHORA DA LUZ;   1
BA;CAATIBA;SMS DE CAATIBA;   1
BA;CAMACAN;CENTRO DE REFERENCIA E VIGILANCIA A SAUDE;   1
BA;CAMACARI;CENTRO INTERMEDIARIO DE ENFRENTAMENTO AO CORONAVIRUS CIEC;   1
BA;CAMACARI;HOSPITAL SEMED;   1
BA;CAMAMU;HOSPITAL MUNICIPAL DR ALVARO ERNESTO;   1
BA;CARAIBAS;CENTRO DE SAUDE SANTO ANTONIO;   1
BA;CIPO;HOSPITAL MUNICIPAL DE CIPO;   1
BA;CONCEICAO DO ALMEIDA;UNIDADE DE VIGILANCIA EM SAUDE;   1
BA;CORIBE;HOSPITAL MUNICIPAL ANTONIO JOAQUIM LOPES;   1
BA;CORRENTINA;HOSPITAL MUNICIPAL DR LAURO JOAQUIM DE ARAUJO;   1
BA;ELISIO MEDRADO;CASA DE SAUDE MARIA LAPA BITTENCOURT;   1
BA;FILADELFIA;UNIDADE HOSPITALAR SAO SEBASTIAO;   1
BA;FLORESTA AZUL;SECRETARIA MUNICIPAL DE SAUDE DE FLORESTA AZUL;   1
BA;GUANAMBI;HOSPITAL NOVA ALIANCA;   1
BA;IBIRAPUA;HOSPITAL ISAURA CHACARA;   1
BA;IBIRATAIA;MATERNIDADE AURELINA VIRGILIA FAIR;   1
BA;IRARA;HOSPITAL MATERNIDADE DR DERALDO MIRANDA;   1
BA;ITABELA;HOSPITAL E MATERNIDADE FREI RICARDO;   1
BA;ITABUNA;MATERNIDADE ESTER GOMES;   1
BA;ITABUNA;UPA MONTE CRISTO;   1
BA;ITAPETINGA;SMS DE ITAPETINGA;   1
BA;ITAPETINGA;UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS;   1
BA;ITIUBA;HOSPITAL MUNICIPAL DE ITIUBA;   1
BA;ITUBERA;HOSPITAL ANTONIO DA COSTA PINTO DANTAS;   1
BA;JABORANDI;HOSPITAL MUNICIPAL HERMENEGILDO DIAS DA SILVA;   1
BA;JACOBINA;UPA JOSEFA MAIA DA SILVA;   1
BA;JANDAIRA;SECRETARIA MUNICIPAL DE SAUDE DE JANDAIRA;   1
BA;LAURO DE FREITAS;UNIDADE DE PRONTO ATENDIMENTO DE ITINGA;   1
BA;MAETINGA;PRONTO ATENDIMENTO ADONIDIO JOAO RIBEIRO;   1
BA;MIGUEL CALMON;UNIDADE DE VIG EM SAUDE DR JOAO RUBENS N DOS ANJOS;   1
BA;MULUNGU DO MORRO;HOSPITAL MUNICIPAL DO POVO;   1
BA;MUNDO NOVO;HOSPITAL MUNICIPAL DE MUNDO NOVO;   1
BA;NOVA FATIMA;HOSPITAL MUNICIPAL FLORISVALDO JOSUEL ARAUJO;   1
BA;PALMAS DE MONTE ALTO;HOSPITAL MUNICIPAL MILTON FARIA DIAS LARANJEIRA;   1
BA;PAULO AFONSO;SECRETARIA MUNICIPAL DE SAUDE DE PAULO AFONSO;   1
BA;RAFAEL JAMBEIRO;HOSPITAL MUNICIPAL DR RAFAEL JAMBEIRO;   1
BA;SALINAS DA MARGARIDA;HOSPITAL MUNICIPAL DE SALINAS DA MARGARIDA;   1
BA;SALVADOR;DISTRITO SANITARIO DE BROTAS;   1
BA;SALVADOR;DISTRITO SANITARIO LIBERDADE;   1
BA;SALVADOR;DISTRITO SANITARIO SUBURBIO FERROVIARIO;   1
BA;SALVADOR;INSTITUTO DE PERINATOLOGIA DA BAHIA;   1
BA;SALVADOR;MATERNIDADE TSYLLA BALBINO;   1
BA;SANTA MARIA DA VITORIA;CENTRO DE ATENDIMENTO A COVID 19;   1
BA;SANTA MARIA DA VITORIA;HOSPITAL MUNICIPAL DR JOSE BORBA;   1
BA;SANTA MARIA DA VITORIA;SECRETARIA DE SAUDE DE SANTA MARIA DA VITORIA;   1
BA;SANTANOPOLIS;UNIDADE MISTA MATER E P A EDUARDO GOMES BRITO;   1
BA;SAO DESIDERIO;HOSPITAL E MATERNIDADE NOSSA SENHORA APARECIDA;   1
BA;SAO DOMINGOS;HOSPITAL SAO DOMINGOS;   1
BA;SEBASTIAO LARANJEIRAS;HOSPITAL MUNICIPAL WALTER LEAO ROCHA;   1
BA;SENTO SE;HOSPITAL MATERNIDADE DR HEITOR SENTO SE;   1
BA;TANQUINHO;HOSPITAL JOAO CAMPOS;   1
BA;TEIXEIRA DE FREITAS;UMMI UNIDADE MUNICIPAL MATERNO INFANTIL;   1
BA;TERRA NOVA;UNIDADE MISTA DE SAUDE DR OTTO ALENCAR;   1
BA;UMBURANAS;UNIDADE DE SAUDE DA FAMILIA DA SEDE;   1
BA;URANDI;HOSPITAL MUNICIPAL PADRE ANTONIO MANOEL DA ROCHA;   1
BA;VARZEA DA ROCA;HOSPITAL MUNICIPAL JOAO SALES RIOS;   1
BA;VARZEA DO POCO;HOSPITAL MUNICIPAL RIVORGE GONCALVES LIMA;   1
BA;VERA CRUZ;UNIDADE DE PRONTO ATENDIMENTO DE VERA CRUZ;   1
BA;WAGNER;HOSPITAL E MATERNIDADE PONTE NOVA;   1
CE;ABAIARA;UNIDADE SAO FRANCISCO;   1
CE;ARARENDA;HOSP MUNIC FRANCISCO M LIMA;   1
CE;ARARIPE;HOSP MATERN LIA LOIOLA DE ALENCAR;   1
CE;CARNAUBAL;SECRETARIA MUNIC DE SAUDE DE CARNAUBAL;   1
CE;DEPUTADO IRAPUAN PINHEIRO;HOSPITAL MUNICIPAL SAO BERNARDO;   1
CE;FORTALEZA;H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR;   1
CE;FORTALEZA;HOSPITAL DA CRIANCA;   1
CE;FORTALEZA;LACEN LABORATORIO CENTRAL DE SAUDE PUBLICA;   1
CE;FORTALEZA;UAPS ANASTACIO MAGALHAES;   1
CE;IBIAPINA;SECRETARIA MUNICIPAL DE SAUDE;   1
CE;IPAUMIRIM;HOSPITAL MATERNIDADE MARIA JOSE DOS SANTOS;   1
CE;JAGUARIBE;HOSPITAL MUNICIPAL GOVERNADOR ADAUTO BEZERRA;   1
CE;LIMOEIRO DO NORTE;HOSPITAL UNIMED VALE DO JAGUARIBE CE;   1
CE;MARTINOPOLE;SECRETARIA MUNICIPAL DE SAUDE DE MARTINOPOLE;   1
CE;MONSENHOR TABOSA;HOSP MATERN F FARIAS LEITAO;   1
CE;PALHANO;HOSP MATERNIDADE MARIA TEREZA DE JESUS MATEUS;   1
CE;QUIXELO;HOSP MUNIC DE QUIXELO;   1
CE;QUIXERAMOBIM;SECRETARIA MUNICIPAL DE SAUDE DE QUIXERAMOBIM;   1
CE;REDENCAO;HOSP MATERN PAULO SARASATE;   1
CE;SAO BENEDITO;UNIDADE DE PRONTO ATENDIMENTO DE SAO BENEDITO;   1
CE;SENADOR SA;CENTRO MUNICIPAL DE APOIO A SAUDE CEMAS;   1
CE;SOBRAL;COMPLEXO HOSPITALAR DOM WALFRIDO;   1
CE;SOBRAL;CSF CAIC;   1
CE;SOBRAL;CSF ESTACAO GERARDO HARDY;   1
CE;TARRAFAS;UNID MISTA NOSSA SRA DAS ANGUSTIAS;   1
CE;TIANGUA;UPA TIANGUA;   1
CE;UBAJARA;SECRETARIA MUNICIPAL DE SAUDE DE UBAJARA;   1
CE;URUOCA;UNID MISTA DE URUOCA;   1
DF;BRASILIA;AGAPE TRATAMENTO DOMICILIAR;   1
DF;BRASILIA;NOVITA HOME CARE;   1
ES;AFONSO CLAUDIO;UNIDADE DE SAUDE HILTON LOPES VIEIRA;   1
ES;AGUA DOCE DO NORTE;UNIDADE DE SAUDE SEBASTIAO VIANA;   1
ES;APIACA;HOSPITAL JOSE MONTEIRO;   1
ES;APIACA;UNIDADE DE SAUDE DA FAMILIA DE APIACA;   1
ES;ARACRUZ;UNIDADE BASICA DE SAUDE DE SANTA CRUZ;   1
ES;ATILIO VIVACQUA;HOSPITAL MUNICIPAL DRA ANDREA CANZIAN LOPES;   1
ES;ATILIO VIVACQUA;UNIDADE DE SAUDE DA FAMILIA ALTO NITEROI ALMERINDA BARBOSA;   1
ES;BAIXO GUANDU;CS DILMAN NETO FERREIRA;   1
ES;BARRA DE SAO FRANCISCO;UNIDADE DE SAUDE ALVINO CAMPOS;   1
ES;BOA ESPERANCA;UNIDADE DE SAUDE DE BOA MIRA;   1
ES;CACHOEIRO DE ITAPEMIRIM;HIFA;   1
ES;COLATINA;CASA DE SAUDE SAO BERNARDO;   1
ES;COLATINA;US2 CARLOS GERMANO NAUMANN ULDERICO GIACOMIN;   1
ES;GUACUI;PRONTO ATENDIMENTO LIONIZIO GONCALVES DA ROCHA;   1
ES;IBITIRAMA;PRONTO ATENDIMENTO;   1
ES;ITAGUACU;SECRETARIA MUNICIPAL DE SAUDE DE ITAGUACU;   1
ES;IUNA;CENTRO MUNICIPAL DE SAUDE DE IUNA;   1
ES;LINHARES;VIGILANCIA SANITARIA LINHARES;   1
ES;MANTENOPOLIS;PRONTO ATENDIMENTO MUNICIPAL;   1
ES;MANTENOPOLIS;UNIDADE SAUDE DA FAMILIA SEDE I;   1
ES;MARATAIZES;ESF CAIC;   1
ES;MIMOSO DO SUL;HOSPITAL APOSTOLO PEDRO;   1
ES;MONTANHA;ESF 3 CENTRO;   1
ES;NOVA VENECIA;UNIDADE DE SAUDE ANGELO PIASSAROLLI;   1
ES;PEDRO CANARIO;UNIDADE SAUDE DA FAMILIA MARCOS VINICIUS SOUZA SANTOS;   1
ES;PIUMA;HOSPITAL E MATERNIDADE NOSSA SENHORA DA CONCEICAO;   1
ES;PIUMA;UNIDADE SANITARIA DE ACAIACA;   1
ES;PONTO BELO;UNIDADE DE SAUDE DA FAMILIA PSF 1;   1
ES;SANTA MARIA DE JETIBA;HOSPITAL CONCORDIA;   1
ES;SAO DOMINGOS DO NORTE;ESF FRANCISCO ARAGAO;   1
ES;SAO MATEUS;HOSPITAL MATERNIDADE SAO MATEUS;   1
ES;SAO MATEUS;USF GURIRI NORTE I II E III;   1
ES;SAO MATEUS;USF MORADA DO RIBEIRAO;   1
ES;SERRA;INSTITUTO DE OLHOS VITORIA APART HOSPITAL;   1
ES;SERRA;ORTOPEDIA VITORIA APART HOSPITAL S S LTDA;   1
ES;SOORETAMA;PRONTO ATENDIMENTO GERALDO INACIO DOS SANTOS;   1
ES;VARGEM ALTA;PRONTO ATENDIMENTO OCTACILIO GERALDO DO CARMO;   1
ES;VIANA;PRONTO ATENDIMENTO MUNICIPAL VITTORIO SIAS;   1
ES;VIANA;UNIDADE DE SAUDE DA FAMILIA DE VIANA CENTRO;   1
ES;VILA VALERIO;SECRETARIA MUNICIPAL DE SAUDE;   1
ES;VILA VELHA;HOSPITAL ESTADUAL DE VILA VELHA;   1
ES;VILA VELHA;HOSPITAL SAO LUIZ;   1
ES;VITORIA;HOSPITAL DA POLICIA MILITAR HPM;   1
GO;ALVORADA DO NORTE;HOSPITAL MUNICIPAL DE ALVORADA DO NORTE;   1
GO;ANICUNS;HOSPITAL MUNICIPAL DE ANICUNS;   1
GO;APARECIDA DE GOIANIA;MINI CAIS COLINA AZUL;   1
GO;APARECIDA DE GOIANIA;UNIDADE BASICA DE SAUDE BURITI SERENO;   1
GO;APARECIDA DE GOIANIA;UNIDADE BASICA DE SAUDE PARQUE FLAMBOYANT;   1
GO;APORE;HOSPITAL MUNICIPAL DR JOSE QUARANTA FILHO;   1
GO;ARAGOIANIA;VIGILANCIA EPIDEMIOLOGICA MUNICIPAL;   1
GO;ARAGUAPAZ;HOSPITAL MUNICIPAL DE ARAGUAPAZ;   1
GO;AVELINOPOLIS;HOSPITAL NOSSA SENHORA APARECIDA AVELINOPOLIS;   1
GO;CASTELANDIA;HOSPITAL MUNICIPAL LUIZA DE SOUZA RAMOS;   1
GO;CHAPADAO DO CEU;HOSPITAL MUNICIPAL SANTA LUZIA;   1
GO;CUMARI;HOSPITAL MUNICIPAL DE CUMARI;   1
GO;DAMIANOPOLIS;HOSPITAL MUNICIPAL SANTA CATARINA;   1
GO;DIORAMA;HOSPITAL MUNICIPAL DE DIORAMA;   1
GO;EDEALINA;HOSPITAL MUNICIPAL ELIAS AGUIAR E SILVA;   1
GO;FLORES DE GOIAS;HOSPITAL MUNICIPAL DE FLORES DE GOIAS;   1
GO;GOIANESIA;HOSPITAL UNIVERSITARIO EVANGELICO DE GOIANESIA;   1
GO;GOIANIA;CENTRO CLINICO UNIMED;   1
GO;GOIANIA;HOSPITAL AMERICA;   1
GO;GOIANIA;HOSPITAL SAO DOMINGOS;   1
GO;GOIANIA;MATERNIDADE NOSSA SENHORA DE LOURDES;   1
GO;GOIANIA;SAU I SERVICO DE ATENDIMENTO UNIMED;   1
GO;GOIANIA;USF FINSOCIAL;   1
GO;GOIANIRA;HOSPITAL GOIANIRA;   1
GO;GOIANIRA;UNIDADE AMBULATORIAL SANTOS DANGONI;   1
GO;GOIATUBA;CASA DE SAUDE SAO JOSE;   1
GO;GOIATUBA;HOSPITAL ODELIO PRUDENCIO;   1
GO;GUAPO;AMBULATORIO 24 HORAS GUAPO;   1
GO;GUARAITA;UNIDADE MISTA DE GUARAITA;   1
GO;INDIARA;HOSPITAL MUNICIPAL DE INDIARA;   1
GO;IPORA;HOSPITAL MUNICIPAL DE IPORA;   1
GO;ITAPACI;HOSPITAL DR JOSE PEIXOTO DA SILVEIRA ITAPACI;   1
GO;ITARUMA;HOSPITAL MUNICIPAL DE ITARUMA;   1
GO;JANDAIA;HOSPITAL MUNICIPAL DE JANDAIA;   1
GO;LUZIANIA;DEPARTAMENTO DE ACOES BASICAS DE SAUDE;   1
GO;ORIZONA;HOSPITAL E MATERNIDADE SAO PIO X LTDA ORIZONA;   1
GO;PETROLINA DE GOIAS;HOSPITAL SAO JOSE PETROLINA DE GOIAS;   1
GO;TAQUARAL DE GOIAS;HOSPITAL MUNICIPAL DORALICE G ROCHA TAQUARAL;   1
GO;TURVELANDIA;HOSPITAL MUNICIPAL NOSSA SENHORA DO DESTERRO;   1
GO;URUACU;HOSPITAL SANTANA URUACU;   1
MA;ARAGUANA;SEMUS ARAGUANA;   1
MA;BARRA DO CORDA;HOSPITAL MATERNO INFANTIL;   1
MA;BOM JESUS DAS SELVAS;HOSPITAL MUNICIPAL BOM JESUS DAS SELVAS;   1
MA;CAMPESTRE DO MARANHAO;HOSPITAL MUNICIPAL DE CAMPESTRE DO MARANHAO;   1
MA;FEIRA NOVA DO MARANHAO;UNIDADE MISTA LUSO ROCHA;   1
MA;FERNANDO FALCAO;HOSPITAL GERAL DE FERNANDO FALCAO;   1
MA;GOVERNADOR NEWTON BELLO;HOSPITAL MUNICIPAL JOSE RAMOS;   1
MA;GOVERNADOR NUNES FREIRE;CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19 I;   1
MA;IGARAPE DO MEIO;HOSPITAL MUNICIPAL DE IGARAPE DO MEIO;   1
MA;IMPERATRIZ;HOSPITAL SAO RAFAEL;   1
MA;LAGO VERDE;HOSPITAL MUNICIPAL DE LAGO VERDE;   1
MA;MATA ROMA;HOSPITAL THALLES RIBEIRO GONCALVES;   1
MA;MONCAO;HOSPITAL MUNICIPAL NEWTON SERRA;   1
MA;PIRAPEMAS;HOSPITAL GERAL GERTRUDES MELO MARTINS;   1
MA;SANTA HELENA;HOSPITAL SANTA HELENA;   1
MA;SANTA QUITERIA DO MARANHAO;HOSPITAL MUNICIPAL DR ZECA MOREIRA;   1
MA;SANTO ANTONIO DOS LOPES;HOSPITAL MUNICIPAL DR ZERBINE;   1
MA;SAO LUIS;CEMED CENTRO DE ESPECIALIDADES MEDICAS;   1
MA;SAO LUIS;CLINICA SAO MARCOS;   1
MA;SAO LUIS;HOSPITAL DE REF ESTADUAL DE A C TARQUINIO LOPES FILHO;   1
MA;SAO LUIS;UNIDADE DE SAUDE 24 HORAS DA ZONA RURAL;   1
MA;SAO LUIS;UPC HOSPITAL DA CRIANCA;   1
MA;TUFILANDIA;HOSPITAL MUNICIPAL DE TUFILANDIA SANTA TEREZINHA;   1
MA;VARGEM GRANDE;HOSPITAL MUNICIPAL BENITO M SOUSA;   1
MG;ABADIA DOS DOURADOS;CENTRO DE SAUDE DONA NAIR GOMES CALDAS;   1
MG;ABAETE;HOSPITAL SAO VICENTE DE PAULO DE ABAETE;   1
MG;ABAETE;UPA 24 HORAS DE ABAETE;   1
MG;ALTEROSA;SANTA CASA MISERICORDIA DE ALTEROSA;   1
MG;ARAXA;HOSPITAL CASA DO CAMINHO;   1
MG;ARCEBURGO;PRONTO ATENDIMENTO MUNICIPAL DE ARCEBURGO;   1
MG;AREADO;SANTA CASA DE MISERICORDIA DE AREADO;   1
MG;ATALEIA;APROMIA;   1
MG;BELO HORIZONTE;CENTRO DE SAUDE MINAS CAIXA;   1
MG;BELO HORIZONTE;CENTRO DE SAUDE SAO TOMAS;   1
MG;BELO HORIZONTE;KERALTY CENTRO MEDICO;   1
MG;BELO HORIZONTE;MATERNIDADE UNIMED UNIDADE GRAJAU;   1
MG;BICAS;HOSPITAL SAO JOSE DE BICAS;   1
MG;BICAS;POLICLINICA MICRORREGIONAL DE BICAS;   1
